SRC,TGT,VOT,RES,YEA,DAT,TXT
Michael Snow,Matt Crypto,1,1,2004,"16:39, 30 Sep 2004",
Meelar,AndyL,0,1,2004,"02:45, 22 Apr 2004","His comments in declining earned him a lot of credit in my book, though."
zanimum,Hyacinth,1,1,2004,,"Sure, Hyacinth deserves it. --"
Cimon avaro,Stewartadcock,1,1,2004,,"Support. ""I thought he was one already."" (I know, I know, how unoriginal can one get :P  --"
Bcorr,Elf,1,1,2004,"20:22, 1 Jun 2004",
Func,DF08,1,1,2004,"23:36, 12 Nov 2004","Looks good to me; as a side note, is ""ugen64"" a word? ;-)"
Fuzheado,Kate,0,1,2004,"05:57, 6 Sep 2004",
Stormie,Rhobite,1,1,2004,,"Definite support. p.s. [[Dick Morris]] looks just fantastic, hard to believe its only been touched by one editor so far. &mdash;"
Hemanshu,Charles Matthews,1,1,2004,"17:50, 17 Feb 2004",Support. --
Grunt,CSTAR,1,1,2004,,Sure. --
Gentgeen,ChrisDJackson.09,-1,-1,2004,"07:11, 14 Apr 2004",
John Kenney,Mirv,1,1,2004,"15:48, 25 May 2004",
Jengod,Rlandmann,1,1,2004,,
MacGyverMagic,DCEdwards1966,1,-1,2004,,Support. Does some great work.
Antandrus,Jpgordon,1,1,2004,"02:56, 20 Nov 2004",
Filiocht,Ludraman,1,1,2004,,
plato,Zero0000,1,1,2004,,Fully Support we need people who know middle eastern history!
CryptoDerk,Pumpie,-1,-1,2004,,
Mustafaa,Woggly,1,1,2004,"18:57, 29 Nov 2004",
,Meelar,1,1,2004,,
Ilyanep,Ezhiki,1,1,2004,"16:11, 19 Aug 2004",Definately. [[User:Ilyanep|
Meelar,Dcoetzee,1,1,2004,"02:15, 29 Apr 2004",
Menchi,Elf,1,1,2004,"02:57, 10 Jun 2004",Support strongly. Anybody who is so gung-ho about WP that she wrote [[User:Elf/TempSong|a song]] must really care about our project!  And the tips she offered on her userpage show that she really knows what she's doing :-) --
DO'Neil,Mark,1,1,2004,,"Mark Ryan from IRC? Support, naturally!"
Hephaestos,Nohat,1,1,2004,"02:44, 16 Apr 2004",
Cribcage,Zoicon 5,1,1,2004,"05:04, 23 Nov 2004",
Lowellian,Ran,1,1,2004,,"Yep. Fluency in Chinese is a plus, too. [[User:Lowellian|<nowiki></nowiki>]]&mdash;"
Geogre,Lucky 6.9.08,1,-1,2004,"03:02, 9 Aug 2004","I cannot express the strength of my support enough.  In the ""B-movie bandit"" episode, Lucky was tireless at ''cleaning up'' the mess left in his wake.  If you look at Lucky's contributions, you will not find them in meta or in tables and borders.  Those things are important, but Lucky's contributions are in the articles, giving Wikipedia content, endlessly rescuing orphaned items from the Clean Up list, thinking carefully about how he can improve our site.  I have never seen Lucky fail in his principles, his energy, or his desire to make us a better project."
Elf-friend,Topbanana,1,1,2004,"18:00, 4 Aug 2004",
Angela,Yacht,1,1,2004,,Support.
Passw0rd,Lachatdelarue,-1,1,2004,"22:32, 9 Nov 2004",Not enough edits.
Michael Snow,OldakQuill,1,1,2004,"00:11, 23 Jun 2004",
Jwrosenzweig,Francs2000,1,1,2004,"19:26, 24 Feb 2004","Support. The few times I've encountered him here, he seems to be doing very good work."
Rhymeless,Hyacinth,1,1,2004,"06:34, 8 Nov 2004","Fantastic user, would be a great addition to the admin community. [[User:Rhymeless|"
