Source,Target,Weight,Type
Steel1943,BDD,1,Directed
Cuchullain,BDD,1,Directed
INeverCry,BDD,1,Directed
Cncmaster,BDD,1,Directed
Miniapolis,BDD,1,Directed
Sven Manguard,BDD,1,Directed
Ramaksoud2000,BDD,1,Directed
RockMagnetist,BDD,1,Directed
Carrite,BDD,1,Directed
Someguy1221,BDD,1,Directed
Secret,BDD,1,Directed
Dennis Brown,BDD,1,Directed
MJ94,BDD,1,Directed
King of Hearts,BDD,1,Directed
Go Phightins!,BDD,1,Directed
Hahc21,BDD,1,Directed
TBrandley,BDD,1,Directed
Mazca,BDD,1,Directed
Pratyya Ghosh,BDD,1,Directed
Film at 11,BDD,1,Directed
Nyttend,BDD,1,Directed
SlimVirgin,BDD,1,Directed
Ducknish,BDD,1,Directed
Bluerasberry,BDD,1,Directed
DanielTom,BDD,1,Directed
RightCowLeftCoast,BDD,1,Directed
Boing! said Zebedee,BDD,1,Directed
Shadowjams,BDD,1,Directed
Tolly4bolly,BDD,1,Directed
NintendoFan,BDD,1,Directed
Newyorkbrad,BDD,1,Directed
Camyoung54,BDD,1,Directed
MrX,BDD,1,Directed
Wikiwind,BDD,1,Directed
Marcus Qwertyus,BDD,1,Directed
Dirtlawyer1,BDD,1,Directed
Soap,BDD,1,Directed
HMSSolent,BDD,1,Directed
Chris.urs-o,BDD,1,Directed
Pol430,BDD,1,Directed
Peridon,BDD,1,Directed
Stalwart111,BDD,1,Directed
Wizardman,BDD,1,Directed
Danger,BDD,1,Directed
AutomaticStrikeout,BDD,1,Directed
Rzuwig,BDD,1,Directed
069952497a,BDD,1,Directed
WJBscribe,BDD,1,Directed
EdJohnston,BDD,1,Directed
Dainomite,BDD,1,Directed
Tucoxn,BDD,1,Directed
LlamaAl,BDD,1,Directed
Kurtis,BDD,1,Directed
Inks.LWC,BDD,1,Directed
Widr,BDD,1,Directed
In ictu oculi,BDD,1,Directed
Thumperward,BDD,1,Directed
Brookie,BDD,1,Directed
Kierzek,BDD,1,Directed
WereSpielChequers,BDD,1,Directed
Ret.Prof,BDD,1,Directed
Ultraexactzz,BDD,1,Directed
Kraxler,BDD,1,Directed
Stillnotelf,BDD,1,Directed
Orlady,BDD,1,Directed
KumiokoCleanStart,BDD,1,Directed
PhilKnight,BDD,1,Directed
Ronhjones,BDD,1,Directed
Ignatzmice,BDD,1,Directed
MelanieN,BDD,1,Directed
Rivertorch,BDD,1,Directed
Kaldari,BDD,1,Directed
Scott Martin,BDD,1,Directed
Pharaoh of the Wizards,BDD,1,Directed
Deli nk,BDD,1,Directed
Mr. Stradivarius,BDD,1,Directed
Useight's Public Sock,BDD,1,Directed
CaSJer,BDD,1,Directed
RP459,BDD,1,Directed
Favonian,BDD,1,Directed
Monterey Bay,BDD,1,Directed
Minimac,BDD,1,Directed
Angelo1345,BDD,1,Directed
Gilderien,BDD,1,Directed
Pedro,BDD,1,Directed
Deb,BDD,1,Directed
Technical 13,BDD,1,Directed
Nick,BDD,1,Directed
Amorymeltzer,BDD,1,Directed
Lenticel,BDD,1,Directed
Tiggerjay,BDD,1,Directed
Doctree,BDD,1,Directed
SarekOfVulcan,BDD,1,Directed
Sparklism,BDD,1,Directed
Northamerica1000,BDD,1,Directed
Hut 8.5,BDD,1,Directed
MONGO,BDD,1,Directed
Adjwilley,BDD,1,Directed
Snow Blizzard,BDD,1,Directed
Mkdw,BDD,1,Directed
Trusilver,BDD,1,Directed
RegentsPark,BDD,1,Directed
Mediran,BDD,1,Directed
Kudpung,BDD,1,Directed
The Transhumanist,BDD,1,Directed
Bloom6132,BDD,1,Directed
SmokeyJoe,BDD,1,Directed
Yintan,BDD,1,Directed
Piotrus,BDD,1,Directed
Erik,BDD,1,Directed
GiantSnowman,BDD,1,Directed
Reaper Eternal,BDD,1,Directed
Tryptofish,BDD,1,Directed
Salvidrim,BDD,1,Directed
