SRC,TGT,VOT,RES,YEA,DAT,TXT
The Anonymouse,Monty845,1,1,2012,"05:54, 26 November 2012","'''Support''' (moved from neutral) – Even though the user hasn't really done much content work, I think Monty845, with his experience in admin-related areas, would be a great admin. After all, maintenance stuff is what admins are supposed to do (content editing is recommended but should not required of an admin, in my opinion)."
Glrx,Jeff G.,-1,-1,2012,"00:18, 10 February 2012","(e/c 2) Not now. I'm impressed with the amount of work you've done, and I want to support the nom, but I'm troubled by the answers. Some answers are on point; number 1, for example, is clear. Others seem to miss the question or are too terse to evaluate. Number 2 asked for ""best"", but the answer seems to be ""all"". Number 5B doesn't say why. Number 7 is slightly off; the follow on didn't help. (And snaps to 28bytes for the Q.) The nom acceptance is long and anticipatory and almost argumentative. I think an admin's interests can be narrow; breath and quantity are commendable, but I'd like to see some depth and understanding. I poked around some contribs; I didn't see anything bad, but a deletion discussion made me wonder if you want to debate everyone who disagrees with you. My problem is the answers to the questions. Come back in six months."
Valenciano,Penyulap,-1,-1,2012,"17:57, 24 July 2012","'''Oppose''' the sockpuppetry thing is a big no. Also there's three blocks on the account, one on 21 June and the other this month."
Mysterytrey,Berean Hunter,1,1,2012,"04:38, 21 July 2012",'''Support''' Trusilver said it real nice.  It would ''definitely'' be a net positive and this user seems reliable enough to be entrusted with this.
GabeMc,Ryan Vesey,-1,-1,2012,"20:30, 3 July 2012","'''Oppose''' - Less than 12 months experience is too little. Not now, perhaps later. Seems like a sensible user who be later be trusted with the mop, ''after'' more experience. ~"
ClemRutter,Floydian,-1,-1,2012,"09:11, 18 August 2012","'''Oppose'''  The Highway 401 article is beautifully written, and lacks only one essential ingredient. It is totally invisible to google maps- it lacks a single co-ordinate for any of the interchanges. All offers by other editors to assist in providing them (offers still open) have been stoutly refused and rebutted in an astonishing display of [[WP:OWN]]- to the point of creating an edit war.  I see from comments above that [[User:Floydian]] still persists in ownership, perceiving anyone with an alternative view as part of a 'cabal'. I'd love to stand Floydian a coffee and learn from him some of his editing tricks but until we see Highway 401 visible on Google maps I can't support this application.  --"
Berean Hunter,Monty845,1,1,2012,"15:38, 27 November 2012","'''Support'''. I've always found Monty to be logical and calm, offering up clueful insight and being helpful in general. He will serve the community well.<br />&nbsp;—&nbsp;"
BuickCenturyDriver,Harrias,1,1,2012,"10:16, 28 November 2012",Another editor that is geared toward content related issues makes me '''support'''.   Good luck.  &ndash;
WereSpielChequers,SarahStierch,1,1,2012,"21:19, 26 July 2012","Useful editor, I've enjoyed reading several of her articles. ''"
Ched Davis,Distributor108,-1,-1,2012,"13:39, 16 April 2012","'''Oppose''' per Arbcom case.  I suspect this project is not really the venue that Distributor is looking for. — <small><span style=""border:1px solid #000000;padding:1px;""><b>"
Bali ultimate,Avicennasis,1,-1,2012,"16:01, 22 May 2012","'''Support''' User self describes as suffering from obsessive compulsive disorder, his contributions seem to be the various fiddlings/automated actions of such categories of ''editors'', and he has no track record whatsoever of content creation or involvement in disputes/dispute resolutions. Not too long ago showed serious signs of immaturity. Also per ''My best work, I think, has been done on IRC.'' Appoint him to arbcom already!"
Pdcook,Dpmuk,1,1,2012,"00:47, 20 February 2012",'''Support''' - No concerns.
AutomaticStrikeout,Berean Hunter,1,1,2012,"01:22, 22 July 2012",'''Support''' Opposes continue to be unconvincing!
Glrx,Dennis Brown,-1,1,2012,"19:24, 19 April 2012","'''Oppose'''. I want to support, but.... I had previously noticed some of the candidate's postings and found them good. The answers to questions show he understands what is going on (BTW, Q10 BLP is an explicit exception at [[WP:NOT3RR]]). He is a solid candidate. I looked at the challenged CSD tags above, and his tagging is a cause for concern. His answer to question 4 was reassuring on that matter and showed self reflection and a willingness to change. The offer to abstain from CSD for a time shows both sophistication and judgment -- characteristics admins should have. His responses are strong enough to waive the CSD issue. I'm all set to support, but I took another look at his contributions and found today's [http://en.wikipedia.org/w/index.php?title=Wikipedia:Articles_for_deletion/WireDoo&diff=488100957&oldid=488097709 keep vote] at [http://en.wikipedia.org/wiki/Wikipedia:Articles_for_deletion/WireDoo AfD/WireDoo]. This AfD vote was made after the CSD discussion here. ""I agree that it is weak, in alpha stage, not open to the public, and may never come to fruition, but when CNN and the LA Times cover it and do so in a significant way, it seems to be notable."" I have trouble with the premise that something that is still under wraps is notable. It can happen, but it would be unusual. Furthermore, I don't see CNN's spare 5 paragraphs being significant coverage.[http://articles.cnn.com/2011-10-20/tech/tech_web_mc-hammer-search-engine_1_search-engine-mc-hammer-google?_s=PM:TECH] The LA Times blog is an interview that mostly quotes WireDoo's MC Hammer.[http://latimesblogs.latimes.com/technology/2011/10/mc-hammer-wiredoo-deep-search-engine.html] Consequently, the source is not independent; it is essentially a live press release. Where the LA times strays from quoting MC Hammer, it is skeptical of WireDoo's chances -- suggesting that WireDoo will crash and burn rather than be significant. The articles exist because MC Hammer is famous. Products and services don't acquire notability by association. That one AfD vote spins me around. I'm now reluctant to waive the CSD tagging issue and am left wondering about his [[WP:N]] judgment. The metric is not abusing the tools, and that requires good judgment. I think the proper action is to wait."
Someguy1221,SarahStierch,1,1,2012,"00:52, 21 July 2012",'''Support'''. OTRS contributions look solid; AFC contributions look solid; Wikipedia- and talk-space posts are calm and well reasoned. Why not?
Alpha Quadrant,Scottywong,1,1,2012,"05:23, 23 March 2012","'''Support''' While I did indeed oppose Scotty's last RfA, his work since then has been exemplary. I have no concerns."
Minimac,Jenks24,1,1,2012,"07:06, 25 May 2012",'''Support''' per the professionally written nomination.
